Distance,EventDestination_x,EventDestination_y,EventOrigin_x,EventOrigin_y,EventSubType,EventTime,MatchPeriod,Source,Target
27.2,73.0,36.0,51.0,52.0,Simple pass,1.14,1,Opponent17_M1,Opponent17_D1
49.04,42.0,74.0,73.0,36.0,High pass,3.53,1,Opponent17_D1,Opponent17_M2
1.41,43.0,75.0,42.0,74.0,Simple pass,6.65,1,Opponent17_M2,Opponent17_M1
17.49,28.0,66.0,43.0,75.0,Simple pass,9.11,1,Opponent17_M1,Opponent17_M3
21.1,26.0,87.0,28.0,66.0,Simple pass,12.36,1,Opponent17_M3,Opponent17_M1
12.21,25.0,15.0,15.0,8.0,Simple pass,21.15,1,Opponent17_M4,Opponent17_D2
11.4,32.0,24.0,25.0,15.0,Simple pass,22.43,1,Opponent17_D2,Opponent17_M5
23.35,9.0,20.0,32.0,24.0,Simple pass,24.84,1,Opponent17_M5,Opponent17_M4
13.89,14.0,21.0,21.0,33.0,Simple pass,30.48,1,Huskies_M1,Huskies_D5
24.76,23.0,13.0,41.0,30.0,Simple pass,35.58,1,Opponent17_M5,Opponent17_M4
16.12,31.0,27.0,23.0,13.0,Simple pass,36.63,1,Opponent17_M4,Opponent17_M5
19.65,26.0,8.0,31.0,27.0,Simple pass,41.08,1,Opponent17_M5,Opponent17_D2
18.79,34.0,25.0,26.0,8.0,Simple pass,41.96,1,Opponent17_D2,Opponent17_M5
22.8,16.0,11.0,34.0,25.0,Simple pass,46.2,1,Opponent17_M5,Opponent17_D2
14.32,15.0,20.0,21.0,33.0,Head pass,53.5,1,Huskies_F2,Huskies_D5
38.95,36.0,91.0,10.0,62.0,Hand pass,146.56,1,Huskies_G1,Huskies_D7
27.02,65.0,96.0,92.0,95.0,Launch,155.29,1,Opponent17_D3,Opponent17_M2
14.04,44.0,80.0,58.0,81.0,Simple pass,179.6,1,Opponent17_M5,Opponent17_F1
12.53,32.0,96.0,43.0,90.0,Simple pass,182.18,1,Huskies_M1,Huskies_D7
25.08,35.0,72.0,37.0,97.0,Launch,209.03,1,Huskies_M1,Huskies_F2
27.66,28.0,17.0,34.0,44.0,Simple pass,215.73,1,Opponent17_M4,Opponent17_D2
17.0,11.0,17.0,28.0,17.0,Simple pass,218.8,1,Opponent17_D2,Opponent17_M4
2.83,13.0,15.0,11.0,17.0,Simple pass,223.13,1,Opponent17_M4,Opponent17_D2
3.16,14.0,12.0,13.0,15.0,Simple pass,228.12,1,Opponent17_D2,Opponent17_M4
37.66,7.0,49.0,14.0,12.0,Cross,229.79,1,Opponent17_M4,Opponent17_M3
17.26,22.0,75.0,25.0,92.0,Simple pass,249.36,1,Opponent17_D4,Opponent17_M2
14.21,11.0,84.0,22.0,75.0,Simple pass,249.79,1,Opponent17_M2,Opponent17_D4
11.4,32.0,95.0,41.0,88.0,Head pass,312.21,1,Opponent17_D4,Opponent17_M2
6.08,20.0,97.0,14.0,98.0,Simple pass,326.15,1,Opponent17_M2,Opponent17_D4
12.21,64.0,15.0,74.0,22.0,Simple pass,346.46,1,Opponent17_D1,Opponent17_D2
17.09,70.0,31.0,64.0,15.0,Simple pass,347.71,1,Opponent17_D2,Opponent17_M1
49.04,68.0,80.0,70.0,31.0,High pass,351.15,1,Opponent17_M1,Opponent17_D3
21.26,52.0,94.0,68.0,80.0,Simple pass,353.65,1,Opponent17_D3,Opponent17_D4
16.28,36.0,97.0,52.0,94.0,Simple pass,357.55,1,Opponent17_D4,Opponent17_M2
23.09,58.0,90.0,36.0,97.0,Simple pass,358.33,1,Opponent17_M2,Opponent17_D4
15.0,70.0,81.0,58.0,90.0,Simple pass,359.1,1,Opponent17_D4,Opponent17_D3
77.9,32.0,13.0,70.0,81.0,High pass,364.38,1,Opponent17_D3,Opponent17_M4
19.03,53.0,32.0,54.0,51.0,Simple pass,390.25,1,Opponent17_M5,Opponent17_M1
26.93,46.0,58.0,53.0,32.0,Simple pass,392.39,1,Opponent17_M1,Opponent17_M5
50.16,42.0,8.0,46.0,58.0,Simple pass,398.15,1,Opponent17_M5,Opponent17_D2
14.56,46.0,22.0,42.0,8.0,Simple pass,401.57,1,Opponent17_D2,Opponent17_M1
13.0,44.0,14.0,39.0,2.0,Simple pass,406.13,1,Huskies_M6,Huskies_F2
15.81,29.0,9.0,44.0,14.0,Simple pass,407.56,1,Huskies_F2,Huskies_D5
13.6,42.0,5.0,29.0,9.0,Simple pass,409.37,1,Huskies_D5,Huskies_M6
13.04,29.0,6.0,42.0,5.0,Simple pass,411.0,1,Huskies_M6,Huskies_D5
26.57,20.0,31.0,29.0,6.0,Simple pass,413.17,1,Huskies_D5,Huskies_D2
22.47,52.0,83.0,73.0,75.0,Head pass,419.76,1,Opponent17_D3,Opponent17_M2
17.0,71.0,91.0,56.0,99.0,Simple pass,425.43,1,Opponent17_M2,Opponent17_D4
18.79,63.0,74.0,71.0,91.0,Simple pass,426.25,1,Opponent17_D4,Opponent17_M5
10.05,73.0,75.0,63.0,74.0,Simple pass,427.87,1,Opponent17_M5,Opponent17_D3
39.01,72.0,36.0,73.0,75.0,Simple pass,429.74,1,Opponent17_D3,Opponent17_D1
24.35,64.0,13.0,72.0,36.0,Simple pass,433.78,1,Opponent17_D1,Opponent17_D2
20.22,67.0,33.0,64.0,13.0,Simple pass,434.45,1,Opponent17_D2,Opponent17_D1
