Id,Label
0.0,Huskies_F6
1.0,Huskies_D1
2.0,Huskies_M4
3.0,Huskies_D8
4.0,Huskies_F5
5.0,Opponent8_D6
6.0,Opponent8_F2
7.0,Huskies_M6
8.0,Huskies_D1
9.0,Huskies_D4
10.0,Opponent8_D3
11.0,Opponent8_D7
12.0,Huskies_F5
13.0,Huskies_F2
14.0,Huskies_F5
15.0,Opponent8_M1
16.0,Huskies_G1
17.0,Opponent8_F2
18.0,Huskies_D3
19.0,Huskies_D1
20.0,Huskies_D4
21.0,Huskies_D1
22.0,Huskies_D3
23.0,Huskies_F6
24.0,Huskies_D8
25.0,Huskies_M6
26.0,Huskies_M6
27.0,Huskies_M12
28.0,Huskies_D4
29.0,Opponent8_D2
30.0,Opponent8_D7
31.0,Opponent8_M5
32.0,Opponent8_D3
33.0,Opponent8_D6
34.0,Huskies_F5
35.0,Huskies_M12
36.0,Huskies_F5
37.0,Huskies_F2
38.0,Huskies_D8
39.0,Huskies_F6
40.0,Huskies_M4
41.0,Huskies_F2
42.0,Huskies_M4
43.0,Huskies_D1
44.0,Huskies_D4
45.0,Opponent8_M6
46.0,Opponent8_D2
47.0,Opponent8_M6
48.0,Opponent8_D7
49.0,Huskies_D3
50.0,Huskies_D1
51.0,Huskies_D4
52.0,Huskies_D1
53.0,Huskies_D3
54.0,Huskies_M4
55.0,Huskies_D3
56.0,Huskies_F2
57.0,Huskies_D4
58.0,Huskies_F5
59.0,Opponent8_D3
60.0,Opponent8_G1
61.0,Huskies_D8
62.0,Huskies_M4
63.0,Huskies_F2
64.0,Huskies_D4
65.0,Huskies_D1
66.0,Huskies_F5
67.0,Huskies_M6
68.0,Huskies_F6
69.0,Huskies_M6
70.0,Huskies_D4
71.0,Huskies_F6
72.0,Huskies_F2
73.0,Huskies_D4
74.0,Huskies_D1
75.0,Huskies_F6
76.0,Huskies_D8
77.0,Huskies_D8
78.0,Huskies_F6
79.0,Huskies_D4
80.0,Huskies_F2
81.0,Huskies_F2
82.0,Huskies_D4
83.0,Huskies_F2
84.0,Huskies_F6
85.0,Huskies_D4
86.0,Opponent8_G1
87.0,Opponent8_M5
88.0,Opponent8_M6
89.0,Opponent8_D3
90.0,Opponent8_D6
91.0,Opponent8_M1
92.0,Opponent8_D3
93.0,Opponent8_D6
94.0,Opponent8_M6
95.0,Opponent8_D2
96.0,Opponent8_M6
97.0,Opponent8_D7
98.0,Opponent8_D2
99.0,Huskies_D8
100.0,Opponent8_M1
101.0,Opponent8_F1
102.0,Huskies_M12
103.0,Huskies_D4
104.0,Huskies_D1
105.0,Huskies_F2
106.0,Huskies_D1
107.0,Huskies_M6
108.0,Huskies_M12
109.0,Huskies_M6
110.0,Huskies_D4
111.0,Huskies_D4
112.0,Huskies_D1
113.0,Huskies_D3
114.0,Huskies_F5
115.0,Huskies_F6
116.0,Huskies_M6
117.0,Huskies_M4
118.0,Huskies_F2
119.0,Huskies_M4
120.0,Huskies_F2
121.0,Huskies_D1
122.0,Huskies_D3
123.0,Opponent8_M5
124.0,Huskies_G1
125.0,Huskies_D3
126.0,Opponent8_M2
127.0,Opponent8_D3
128.0,Opponent8_D2
129.0,Opponent8_D7
130.0,Opponent8_D2
131.0,Huskies_M6
132.0,Huskies_M12
133.0,Huskies_M12
134.0,Huskies_D4
135.0,Huskies_F2
